Ensembl_ID	Gene_Symbol	Direction
ENSG00000126778	SIX1	Higher_in_Ambiguous
ENSG00000253395	LINC03044	Higher_in_Ambiguous
ENSG00000179934	CCR8	Higher_in_Ambiguous
ENSG00000210077	MT-TV	Higher_in_Ambiguous
ENSG00000268307	LINC02560	Higher_in_Ambiguous
ENSG00000196747	H2AC13	Higher_in_Ambiguous
ENSG00000217862	H4C10P	Higher_in_Ambiguous
ENSG00000185352	HS6ST3	Higher_in_Ambiguous
ENSG00000286522	H3C2	Higher_in_Ambiguous
ENSG00000170419	VSTM2A	Higher_in_Ambiguous
ENSG00000278374	LOC124902105	Higher_in_Ambiguous
ENSG00000278828	H3C10	Higher_in_Ambiguous
ENSG00000139547	RDH16	Higher_in_Ambiguous
ENSG00000287064	NA	Higher_in_Ambiguous
ENSG00000224223	VSTM2A-OT1	Higher_in_Ambiguous
ENSG00000200879	SNORD14E	Higher_in_Ambiguous
ENSG00000222881	Y_RNA	Higher_in_Ambiguous
ENSG00000235978	LOC124906209	Higher_in_Ambiguous
ENSG00000237515	SHISA9	Higher_in_Ambiguous
ENSG00000277224	H2BC7	Higher_in_Ambiguous
ENSG00000276712	MIR7111	Higher_in_Ambiguous
ENSG00000099954	CECR2	Higher_in_Ambiguous
ENSG00000114805	PLCH1	Higher_in_Ambiguous
ENSG00000161896	IP6K3	Higher_in_Ambiguous
ENSG00000148735	PLEKHS1	Higher_in_Ambiguous
ENSG00000134020	PEBP4	Lower_in_Ambiguous
ENSG00000185149	NPY2R	Lower_in_Ambiguous
ENSG00000085741	WNT11	Lower_in_Ambiguous
ENSG00000124205	EDN3	Lower_in_Ambiguous
ENSG00000156076	WIF1	Lower_in_Ambiguous
ENSG00000149043	SYT8	Lower_in_Ambiguous
ENSG00000143867	OSR1	Lower_in_Ambiguous
ENSG00000170549	IRX1	Lower_in_Ambiguous
ENSG00000156463	SH3RF2	Lower_in_Ambiguous
ENSG00000248757	LINC02115	Lower_in_Ambiguous
ENSG00000162595	DIRAS3	Lower_in_Ambiguous
ENSG00000106018	VIPR2	Lower_in_Ambiguous
ENSG00000229886	NA	Lower_in_Ambiguous
ENSG00000119147	ECRG4	Lower_in_Ambiguous
ENSG00000287252	LOC100131289	Lower_in_Ambiguous
ENSG00000129167	TPH1	Lower_in_Ambiguous
ENSG00000269985	FARS2-AS1	Lower_in_Ambiguous
ENSG00000197565	COL4A6	Lower_in_Ambiguous
ENSG00000264781	MIR4537	Lower_in_Ambiguous
ENSG00000064886	CHI3L2	Lower_in_Ambiguous
ENSG00000171199	OPRPN	Lower_in_Ambiguous
ENSG00000268104	SLC6A14	Lower_in_Ambiguous
ENSG00000204175	GPRIN2	Lower_in_Ambiguous
ENSG00000154027	AK5	Lower_in_Ambiguous
ENSG00000162706	CADM3	Lower_in_Ambiguous
