cluster	gene	log2fc	pval	padj	significant
0	ENSG00000280916.2	1.9401584937601708	1.2972315460767173e-92	1.9672516396253415e-88	True
0	ENSG00000204019.5	1.8304985864162246	1.0915336427301829e-85	2.6484972307205154e-82	True
0	ENSG00000102243.13	1.7307154500030875	4.5602925240902874e-70	1.3048459646760228e-67	True
0	ENSG00000143452.16	1.6755756970842688	3.9731607542353176e-58	4.220874454499376e-56	True
0	ENSG00000261175.6	1.6601839083452576	4.868811539892385e-78	3.2815789778874674e-75	True
0	ENSG00000156219.17	1.6506146848351668	4.555667181160336e-68	1.1098263903983372e-65	True
0	ENSG00000258910.3	1.62564240203529	7.146513628839223e-63	1.117287414240689e-60	True
0	ENSG00000065371.17	1.6174041771351488	2.9674415386833713e-81	3.214375066723809e-78	True
0	ENSG00000257271.1	1.533190201110181	1.213644726404953e-90	9.202461137965555e-87	True
0	ENSG00000166535.20	1.4981634384816658	1.4507737524868066e-60	1.868448743648613e-58	True
0	ENSG00000186007.10	1.4933233842020601	3.515478747404693e-75	1.6660073501372552e-72	True
0	ENSG00000102854.16	1.4521628359688101	1.3292951262380756e-44	5.607443835716389e-43	True
0	ENSG00000114547.10	1.4153339596305168	8.949799992877204e-67	1.9251591048508198e-64	True
0	ENSG00000254607.2	1.3855316238895243	2.8414187008204587e-71	9.071603073251001e-69	True
0	ENSG00000094755.17	1.3833337828667043	4.42827177905987e-71	1.3918081145998537e-68	True
0	ENSG00000186832.9	1.3732065148220944	9.094294568926561e-69	2.38813813225578e-66	True
0	ENSG00000174607.11	1.3504592021380937	4.757665855215809e-66	9.645573039743531e-64	True
0	ENSG00000198729.5	1.348051632875978	9.455331418017608e-72	3.0836580850373553e-69	True
0	ENSG00000213130.3	1.3278134100675543	2.2920890494035667e-73	8.635908182411201e-71	True
0	ENSG00000228639.8	1.321267924547826	5.466390889301846e-64	9.23652566420752e-62	True
1	ENSG00000235123.5	1.1394385248256023	1.4242014121538456e-51	1.4392960263028366e-47	True
1	ENSG00000101098.13	0.89246735959455	1.8456639281630258e-47	5.892524941177323e-44	True
1	ENSG00000287914.1	0.825792011419691	6.820959056904781e-27	7.941638702338658e-25	True
1	ENSG00000084628.10	0.814340493579623	1.9930139239508225e-56	6.044811231342844e-52	True
1	ENSG00000173467.9	0.804164684120114	9.280367444467878e-23	6.49304601131974e-21	True
1	ENSG00000207422.1	0.8029966385078056	6.912744422393376e-28	9.037221479792719e-26	True
1	ENSG00000260284.1	0.8025314360260716	7.748672391688131e-42	8.104042539306932e-39	True
1	ENSG00000135346.9	0.7968674978293957	3.0629334034554204e-45	5.806173132925181e-42	True
1	ENSG00000100867.15	0.7749571780264859	6.312448510741872e-30	1.0878213825613693e-27	True
1	ENSG00000165863.17	0.7728803350077258	1.4357370100441885e-33	3.976794841519657e-31	True
1	ENSG00000256612.7	0.772801288490145	1.4099338353721638e-18	5.634162480479279e-17	True
1	ENSG00000233823.1	0.7702685137763314	1.0380647001804405e-34	3.2796356621325795e-32	True
1	ENSG00000260710.1	0.7619804880563537	4.3358804171257895e-44	6.921434371127641e-41	True
1	ENSG00000173335.5	0.7560017443284899	6.697509531495786e-29	1.0081164470981001e-26	True
1	ENSG00000091831.24	0.7397447003330586	5.044905943470185e-31	9.871741759061335e-29	True
